ENDDATE,INDICATORCODE,DATAVALUE,
2020-03-03 00:00:00,1010020088,152.99,
2020-03-02 00:00:00,1010020068,101.03,
2020-03-02 00:00:00,1380041303,858.0,
2020-03-02 00:00:00,1010020082,173.83,
2020-03-02 00:00:00,1010020079,126.55,
2020-03-02 00:00:00,1010020093,170.87,
2020-03-02 00:00:00,1010020092,126.44,
2020-03-02 00:00:00,1010020089,239.39,
2020-03-02 00:00:00,1085340178,2030.0,
2020-03-02 00:00:00,1085340045,52.52,
2020-03-02 00:00:00,1080010002,49.67,
2020-03-02 00:00:00,1310200013,1262.0,
2020-03-02 00:00:00,1330020574,145.2,
2020-03-02 00:00:00,1330010092,13150.0,
2020-03-02 00:00:00,1320260098,544.8,
2020-03-02 00:00:00,1380045540,795.0,
2020-03-02 00:00:00,1380044328,860.0,
2020-03-02 00:00:00,1010020088,153.0,
2020-02-29 00:00:00,1085030482,438.0,
2020-02-29 00:00:00,1010580031,88422213.56,
2020-02-29 00:00:00,1025030068,3998.0,
2020-02-29 00:00:00,1330010241,45333.5,
2020-02-29 00:00:00,1320271477,73344.22,
2020-02-29 00:00:00,1380032914,4471.11,
2020-02-29 00:00:00,1310300104,1686.7,
2020-02-29 00:00:00,1380055637,741049869.0,
2020-02-29 00:00:00,1380055692,1224272013.0,
2020-02-29 00:00:00,1380055695,14651056.0,
2020-02-29 00:00:00,1380032911,2781.3,
2020-02-29 00:00:00,1320272804,884.76,
2020-02-28 00:00:00,1010020082,175.01,
2020-02-28 00:00:00,1380041303,858.0,
2020-02-28 00:00:00,1010020068,101.81,
2020-02-28 00:00:00,1010020092,126.46,
2020-02-28 00:00:00,1010020089,239.44,
2020-02-28 00:00:00,1010020088,153.03,
2020-02-28 00:00:00,1085340178,1966.0,
2020-02-28 00:00:00,1085340038,1079086.0,
2020-02-28 00:00:00,1085340045,51.31,
2020-02-28 00:00:00,1080010002,49.67,
2020-02-28 00:00:00,1010020093,170.89,
2020-02-28 00:00:00,1010570001,12170.16,
2020-02-28 00:00:00,1330010092,13270.0,
2020-02-28 00:00:00,1330011367,1039145.0,
2020-02-28 00:00:00,1320260098,543.2,
2020-02-28 00:00:00,1320270089,1167.99,
2020-02-28 00:00:00,1310300105,459.43,
2020-02-28 00:00:00,1310300106,722.86,
2020-02-28 00:00:00,1085340343,303940.0,
2020-02-28 00:00:00,1310200013,1243.5,
2020-02-28 00:00:00,1380045540,798.0,
2020-02-28 00:00:00,1380044328,860.0,
2020-02-28 00:00:00,1010020079,125.41,
2020-02-27 00:00:00,1010020082,175.01,
2020-02-27 00:00:00,1380032973,2777.0,
2020-02-27 00:00:00,1010020068,102.64,
2020-02-27 00:00:00,1010020092,126.49,
2020-02-27 00:00:00,1010020089,239.29,
2020-02-27 00:00:00,1010020088,153.01,
2020-02-27 00:00:00,1085340178,2035.0,
2020-02-27 00:00:00,1085340045,52.19,
2020-02-27 00:00:00,1080010002,52.54,
2020-02-27 00:00:00,1010020093,170.86,
2020-02-27 00:00:00,1020870011,7881.0,
2020-02-27 00:00:00,1330010092,13490.0,
2020-02-27 00:00:00,1320260098,546.4,
2020-02-27 00:00:00,1310200013,1269.5,
2020-02-27 00:00:00,1380045540,802.0,
2020-02-27 00:00:00,1380044328,870.0,
2020-02-27 00:00:00,1380041303,856.0,
2020-02-27 00:00:00,1330020574,100.0,
2020-02-27 00:00:00,1010020079,127.04,
2020-02-26 00:00:00,1010020082,175.64,
2020-02-26 00:00:00,1380041303,860.0,
2020-02-26 00:00:00,1010020068,102.95,
2020-02-26 00:00:00,1010020092,126.5,
2020-02-26 00:00:00,1010020089,239.1,
2020-02-26 00:00:00,1010020088,152.98,
2020-02-26 00:00:00,1085340178,2139.0,
2020-02-26 00:00:00,1085340045,54.96,
2020-02-26 00:00:00,1080010002,54.41,
2020-02-26 00:00:00,1010020093,170.8,
2020-02-26 00:00:00,1330010092,13530.0,
2020-02-26 00:00:00,1320260098,546.8,
2020-02-26 00:00:00,1310200013,1272.0,
2020-02-26 00:00:00,1380045540,805.0,
2020-02-26 00:00:00,1380044328,870.0,
2020-02-26 00:00:00,1010020079,127.52,
2020-02-25 00:00:00,1010020082,178.34,
2020-02-25 00:00:00,1380041303,860.0,
2020-02-25 00:00:00,1010020068,103.05,
2020-02-25 00:00:00,1010020092,126.53,
2020-02-25 00:00:00,1010020089,238.93,
2020-02-25 00:00:00,1010020088,152.96,
2020-02-25 00:00:00,1085340178,2182.0,
2020-02-25 00:00:00,1085340045,56.71,
2020-02-25 00:00:00,1080010002,55.95,
2020-02-25 00:00:00,1010020093,170.8,
2020-02-25 00:00:00,1330010092,13510.0,
2020-02-25 00:00:00,1320260098,550.4,
2020-02-25 00:00:00,1310200013,1272.5,
2020-02-25 00:00:00,1380045540,805.0,
2020-02-25 00:00:00,1380044328,860.0,
2020-02-25 00:00:00,1010020079,128.34,
2020-02-24 00:00:00,1010020079,128.83,
2020-02-24 00:00:00,1330020574,133.9,
2020-02-24 00:00:00,1010020092,126.55,
2020-02-24 00:00:00,1010020089,238.93,
2020-02-24 00:00:00,1010020088,152.98,
2020-02-24 00:00:00,1010020082,178.34,
2020-02-24 00:00:00,1085340178,2206.0,
2020-02-24 00:00:00,1085340045,56.04,
2020-02-24 00:00:00,1080010002,57.0,
2020-02-24 00:00:00,1010020093,170.71,
2020-02-24 00:00:00,1330010092,13510.0,
2020-02-24 00:00:00,1320260098,554.6,
2020-02-24 00:00:00,1310200013,1269.5,
2020-02-24 00:00:00,1380045540,805.0,
2020-02-24 00:00:00,1380044328,880.0,
2020-02-24 00:00:00,1380041303,860.0,
2020-02-24 00:00:00,1010020068,103.25,
2020-02-21 00:00:00,1010020079,128.34,
2020-02-21 00:00:00,1380041303,860.0,
2020-02-21 00:00:00,1010020092,126.55,
2020-02-21 00:00:00,1010020089,238.54,
2020-02-21 00:00:00,1010020088,152.89,
2020-02-21 00:00:00,1010020082,178.65,
2020-02-21 00:00:00,1085340178,2301.0,
2020-02-21 00:00:00,1085340038,1078302.0,
2020-02-21 00:00:00,1085340045,58.6,
2020-02-21 00:00:00,1080010002,57.85,
2020-02-21 00:00:00,1010020093,170.68,
2020-02-21 00:00:00,1010570001,12394.23,
2020-02-21 00:00:00,1330010092,13640.0,
2020-02-21 00:00:00,1330011367,1044366.0,
2020-02-21 00:00:00,1320260098,553.4,
2020-02-21 00:00:00,1320270089,1138.7,
2020-02-21 00:00:00,1310300105,452.77,
2020-02-21 00:00:00,1310300106,779.84,
2020-02-21 00:00:00,1085340343,269160.0,
2020-02-21 00:00:00,1310200013,1263.5,
2020-02-21 00:00:00,1380045540,785.0,
2020-02-21 00:00:00,1380044328,880.0,
2020-02-21 00:00:00,1010020068,102.62,
2020-02-20 00:00:00,1010020079,127.2,
2020-02-20 00:00:00,1380032973,2822.4,
2020-02-20 00:00:00,1010020092,126.6,
2020-02-20 00:00:00,1010020089,238.51,
2020-02-20 00:00:00,1010020088,152.92,
2020-02-20 00:00:00,1010020082,178.65,
2020-02-20 00:00:00,1085340178,2326.0,
2020-02-20 00:00:00,1085340045,59.72,
2020-02-20 00:00:00,1080010002,59.31,
2020-02-20 00:00:00,1010020093,170.67,
2020-02-20 00:00:00,1020870011,7608.0,
2020-02-20 00:00:00,1330010092,13690.0,
2020-02-20 00:00:00,1320260098,553.0,
2020-02-20 00:00:00,1310200013,1275.5,
2020-02-20 00:00:00,1380045540,785.0,
2020-02-20 00:00:00,1380044328,880.0,
2020-02-20 00:00:00,1380041303,880.0,
2020-02-20 00:00:00,1330020574,125.4,
2020-02-20 00:00:00,1010020068,102.57,
2020-02-19 00:00:00,1010020079,126.22,
2020-02-19 00:00:00,1010020068,102.97,
2020-02-19 00:00:00,1010020093,170.67,
2020-02-19 00:00:00,1010020089,238.42,
2020-02-19 00:00:00,1010020088,152.9,
2020-02-19 00:00:00,1010020082,178.65,
2020-02-19 00:00:00,1085340178,2253.0,
2020-02-19 00:00:00,1085340045,59.72,
2020-02-19 00:00:00,1080010002,57.6,
2020-02-19 00:00:00,1010020092,126.6,
2020-02-19 00:00:00,1330010092,13710.0,
2020-02-19 00:00:00,1320260098,551.8,
2020-02-19 00:00:00,1310200013,1273.5,
2020-02-19 00:00:00,1380045540,770.0,
2020-02-19 00:00:00,1380044328,880.0,
2020-02-19 00:00:00,1380041303,880.0,
2020-02-18 00:00:00,1010020079,126.22,
2020-02-18 00:00:00,1380041303,880.0,
2020-02-18 00:00:00,1010020093,170.6,
2020-02-18 00:00:00,1010020089,238.07,
2020-02-18 00:00:00,1010020088,152.82,
2020-02-18 00:00:00,1010020082,178.65,
2020-02-18 00:00:00,1085340178,2223.0,
2020-02-18 00:00:00,1085340045,57.35,
2020-02-18 00:00:00,1080010002,57.35,
2020-02-18 00:00:00,1010020092,126.6,
